Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date
123rd,Mishbanya,24m 35s 039ms,24m 28s 025ms,1.16.1,Easy,F3,JellySquid,2 months ago
124th,Igno_C,24m 28s,24m 28s 150ms,1.16.1,Normal,No F3,JellySquid,3 weeks ago
125th,supertf,24m 33s 120ms,24m 33s 400ms,1.16.1,Easy,F3,Vanilla,1 month ago
126th,bernus,24m 42s 030ms,24m 42s 030ms,1.16.1,Easy,F3,JellySquid,3 months ago
127th,Lathil,25m 05s 960ms,24m 45s,1.16.1,Normal,F3,JellySquid,3 weeks ago
128th,City,24m 45s 610ms,24m 45s 610ms,1.16.1,Normal,F3,JellySquid,2 months ago
129th,ManDace,24m 54s 300ms,24m 45s 800ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
130th,OdiZ,24m 50s 089ms,24m 50s 089ms,1.16.1,Normal,F3,JellySquid,4 months ago
131st,benet,24m 51s,24m 50s 700ms,1.16.1,Normal,F3,JellySquid,1 month ago
132nd,drvgxxn,25m 15s 066ms,24m 54s 065ms,1.16.1,Easy,F3,JellySquid,2 months ago
133rd,Kasserne,24m 57s 790ms,24m 55s 800ms,1.16.1,Easy,F3,JellySquid,1 month ago
134th,Dani_,25m 03s 810ms,24m 56s,1.16.1,Easy,F3,JellySquid,1 month ago
135th,plr,24m 58s 290ms,24m 58s 290ms,1.16.1,Normal,F3,JellySquid,4 months ago
136th,Stevie7,24m 58s 086ms,24m 58s 860ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
137th,Hasbi,25m 05s 600ms,25m 01s 350ms,1.16.1,Easy,F3,Vanilla,1 month ago
138th,Jamima,25m 05s 870ms,25m 02s 620ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
139th,Granat,25m 57s 840ms,25m 07s 950ms,1.16.1,Normal,F3,JellySquid,1 month ago
140th,draconix,25m 09s,25m 09s,1.16.1,Normal,F3,Vanilla,2 months ago
141st,Swight,25m 18s 007ms,25m 09s 040ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
